filesize,extflag,entropy,malicious
58368,1,7.707501799215045,1
136192,1,7.408458171849384,1
98304,1,5.945522347715532,0
248320,1,6.125650962284642,0
479232,1,7.225127451080762,1
17312,1,6.062259784444136,0
328704,1,7.754733146934779,1
191360,1,6.048778501472876,0
92160,1,7.659082668430299,1
15944,1,5.544870216339148,0
745671,1,6.6447309711470375,0
112128,1,5.584012584478954,1
397840,1,6.521091135656612,0
265728,1,6.54045483878301,0
228688,1,5.795646546020209,0
923136,1,6.687833335635045,1
228864,1,5.727821373270679,0
91136,1,5.626980039596234,1
19968,1,5.222889262779442,0
438784,1,6.482517172949341,1
45600,1,4.870851992314295,0
257096,1,7.018826811965127,0
94720,1,7.600358424612104,1
159744,1,6.550017521310141,1
72192,1,6.0372595275039895,0
104432,1,7.26585102981405,1
150016,1,6.129677506465206,0
81920,1,5.238453171991513,0
39936,1,5.810521165491113,0
4608,1,3.547352420642417,0
4232704,1,3.918066150717313,0
18944,1,5.097594836882975,1
165376,1,6.091977310325673,0
46592,1,5.88476522378064,1
59152,1,6.056731060070948,0
116224,1,6.106241689977845,1
93696,1,7.624067277893887,1
137728,1,7.119140726657749,1
188416,1,5.91550105157463,0
523896,1,5.87885427947018,0
27886,0,6.302363889313185,0
123904,1,5.4130918239572,1
114688,1,7.1121865065319385,1
745549,1,6.478307903060924,0
80384,1,4.418148002290562,0
217632,1,6.490653025546786,0
9216,1,4.773851222599191,0
67144,1,6.516869959046215,0
203776,1,6.057684546601713,1
291328,1,7.751797548162983,1
12016,0,5.94392305615149,0
101376,1,5.717894722654504,1
340480,1,7.567391338024358,1
569344,1,6.695704870514375,1
96256,1,6.526277834895918,0
102400,1,5.700885597731271,1
147489,1,6.194241467705524,1
41288,1,4.691910948025602,0
11490688,1,7.957219958305846,0
16400,1,5.29172663417822,1
22528,1,4.177530002312816,1
38808920,1,7.998423854970144,0
44448,1,6.423764272579814,0
24064,1,4.490673654159192,0
13584,1,6.235727350913363,0
854152,1,5.629453250218109,0
411136,1,6.336317198855004,0
235099,1,7.815886901531567,1
303616,1,7.816129544427712,1
118784,1,5.489686744279906,1
189952,1,7.876329735794838,1
1235824,1,6.282474633787955,0
146944,1,6.701813442901472,1
148816,1,6.360296305292788,0
116736,1,7.19300117098283,1
333824,1,7.600155872903364,1
45056,1,4.7038701761442026,0
44344,1,6.5995852257913485,0
59736,1,3.952187953555672,0
4013056,1,3.751773021617757,0
30904,1,7.463856339770597,1
1536,1,3.3517969424397305,0
43520,1,7.014832182862294,1
12664,1,5.795354607133712,0
111616,1,7.952459185079254,1
102400,1,5.700886603708215,1
501760,1,6.88346796758004,0
194048,1,6.3310755573634285,0
363040,1,6.645243082544815,1
73728,1,5.61301437210448,1
65536,1,6.253833449306591,0
413696,1,7.86081721945482,1
92672,1,7.650113042979729,1
32256,1,6.324830995693203,0
12416,1,3.274688989263808,1
199680,1,7.129356717616935,1
129536,1,7.451477408786018,1
536576,1,7.802409166054449,1
82552,1,3.681435463014488,0
180224,1,6.976045748981174,1
218112,1,7.176616149613433,1
133648,1,6.328383146785509,0
184320,1,6.9100810817942975,1
287744,1,7.567073577859951,1
151336,1,5.711958222927637,0
21008,1,6.519564875862127,0
206336,1,6.029231235759566,0
184952,1,6.407145741098428,0
512512,1,7.551630908307196,1
1718784,1,4.635361626789501,1
486912,1,7.667390727882728,1
70144,1,3.642831821843008,1
123904,1,5.185034579073222,1
3903376,1,4.997157677729748,0
49664,1,7.237284170990301,1
45056,0,4.829967355058936,0
409600,1,7.8201669211529214,1
96256,1,7.620604607632815,1
123904,1,5.185013118782312,1
1153816,1,6.689128328503825,0
238080,1,6.498190163707705,0
807440,1,6.66071159679013,0
228152,1,3.481932110928593,0
19472,1,6.020831225801413,0
87616,1,4.0624814973995305,0
75016,1,7.028541037752235,1
123904,1,5.184985217189722,1
18944,1,5.937850594626073,0
101376,1,7.441469650044444,1
15432,1,5.639046068138222,0
38825784,1,7.995610831210987,0
9228440,1,7.895790896734259,0
67456,1,4.232981528592334,0
157696,1,6.119888534095144,0
123904,1,5.413127015671062,1
74240,1,6.814546400302879,0
39936,1,5.995880420120503,0
121856,1,5.521674817622247,1
1502584,1,7.994281051094863,0
251392,1,7.538911852767956,1
16448,1,5.590621876502117,1
4691480,1,7.996553712588429,0
52288,1,6.434200914458647,0
321024,1,6.8652013129169775,0
104448,1,5.579141467949751,1
25600,1,7.459218009156232,1
116736,1,7.192990259661155,1
31232,1,4.491152711933044,1
19968,1,4.946286819049991,1
770504,1,6.565135062297769,0
862720,1,7.984550947281973,1
78336,1,3.002601057748293,0
2836992,1,6.200373379892705,0
14680,1,6.374845172264668,0
348160,1,7.131701564982053,1
405504,1,7.523244950031424,1
289912,1,6.276286384906395,0
290304,1,7.51004051289217,1
181760,1,6.310597402617379,0
104448,1,5.579127428240704,1
50698,1,7.761977585431466,1
90112,1,5.760630724884488,1
229376,1,7.644101307389711,1
28672,0,3.613030109384087,0
94208,1,7.638125414147755,1
23040,1,5.803610778294968,0
696864,1,6.459824029752345,0
93184,1,7.625921894610798,1
39424,1,5.584154954891588,1
301048,1,7.376075082288962,1
185856,1,7.90649651710958,1
66048,1,5.984244420157147,0
7168,1,4.351365466302441,0
43008,1,6.220870459469518,0
79360,1,5.938728395131848,0
19784,1,6.6050741676065945,0
208072,1,6.5196044124026855,0
106496,1,7.531037934214185,1
105984,1,5.623358106540075,1
27136,1,6.144785070139851,0
97288,1,7.419783770971178,1
169560,1,5.90210335294466,0
87824,1,6.448726223826741,0
638464,1,6.818801079445619,0
312832,1,7.623577354746714,1
99328,1,5.14461621724852,1
475136,1,7.78857961362135,1
438784,1,6.191828481176367,1
103424,1,5.6782914159402615,1
15832,1,6.482812000125584,0
252928,1,4.876900549813365,1
117760,1,5.2277642202091,1
23016,1,5.369209095883182,0
61984,1,5.757444314125822,0
14688,1,6.3776013247154735,0
121856,1,5.521668689736715,1
14589648,1,7.999714839357906,0
92672,1,7.634928070501413,1
86016,1,4.58241495394612,1
117760,1,5.227699777123227,1
793504,1,6.625587050645042,0
705056,1,6.592906594325036,0
339968,1,7.091638994073483,1
19472,1,5.62534622072422,0
141312,1,6.701676752974182,1
417792,1,7.661264592851626,1
59656,1,5.996529904149676,1
54784,1,7.04317013528058,1
5361664,1,6.725205981976202,0
70656,1,5.887010240864643,0
289792,1,7.634662745319108,1
348160,1,7.695241330158387,1
237568,1,5.304915796697132,0
118784,1,5.489677499744263,1
534016,1,7.462344269364324,1
2867200,1,6.696515827496012,0
291360,1,6.335629223134623,0
423424,1,6.666123794150278,1
51008,1,6.904544550763381,0
29696,1,7.681354920658522,1
22144,1,4.8150069274741,1
78848,1,7.692702714610422,1
18944,1,6.259321416353181,1
5199360,1,4.41690695039174,0
56320,1,7.22972333225406,1
86016,1,7.322674949330842,1
17152,1,5.764449137694043,0
93296,1,5.6002494439903945,0
63488,1,6.807922701476759,1
924632,1,5.380883897236122,0
103424,1,5.921010188388668,1
355328,1,7.696772954907324,0
15360,1,5.742426873313579,1
77824,1,7.602589815753976,1
2602384,1,6.614233349789309,0
237568,1,6.165957207082307,1
256312,1,6.249803083904534,0
26624,1,5.461380508119015,1
91136,1,6.444214473790524,1
17408,1,5.518447196469941,1
93696,1,7.606923866616666,1
3584,1,3.755797361015012,0
62464,1,5.72290160343625,0
125440,1,5.336720861969774,1
22528,1,6.6873292245899885,1
29696,1,5.558559587084328,0
113152,1,5.722044379810376,1
30636,1,7.916201937909299,1
600936,1,4.469467772843272,0
212992,1,7.129033331588562,1
32760,1,6.659190832644468,0
973576,1,6.659680216197803,0
273408,1,6.104638829685387,1
164993,1,5.59302006192191,1
105472,1,5.627840308302127,1
243712,1,7.598220513377155,1
89600,1,6.508420599285555,0
274432,1,6.216141895635196,0
70144,1,4.954553242375066,0
147456,1,6.246757005824358,0
59656,1,5.996311961724088,1
483328,1,7.685585931607101,1
60432,1,6.499442667285743,0
113152,1,5.457983225404261,1
5120,0,3.196438422420864,0
756040,1,6.62247037142781,0
39936,1,7.385847761914184,1
493056,1,7.852670022544296,1
65536,1,7.054141537331861,1
925184,1,7.97086355136154,1
94720,1,6.481649170832393,1
71680,1,4.178767573249567,1
569344,1,7.6956840248146,1
253440,1,7.587716038145309,1
565544,0,5.387712537408174,0
31964,1,7.366541315411362,1
113152,1,5.722075198848582,1
117760,1,5.227737632856187,1
106328,1,6.564738062174395,0
946792,1,6.487899755828346,0
8820072,1,7.9965785982441,0
131072,1,6.902501716324957,1
12416,1,3.2711198058386333,1
45056,1,5.017301401391477,1
66128,1,5.5780017427184045,0
124928,1,7.184032174949818,1
18432,1,7.652615626538671,1
19784,1,6.536247564940062,0
12872,1,6.272986075593817,0
245248,1,7.548391717386544,1
388096,0,6.279677692870439,0
1791176,1,1.3567517880312712,0
142848,1,6.962619356212419,1
407040,1,6.433551586640937,1
936448,1,7.053046058923215,0
495616,0,6.127678485063805,0
129536,1,7.338843128869302,1
470352,1,6.436745387296381,0
73216,1,7.856641436597106,1
509856,1,4.895132241220797,0
162816,1,7.855503250241155,1
93696,1,7.65305525958845,1
176128,1,6.948799884579521,1
64000,1,6.305478791587414,0
118784,1,5.636188155282409,1
93184,1,7.667535812258855,1
3215680,1,4.934040024098588,0
24064,1,6.631093378821735,1
217600,1,7.71934189101526,1
19968,1,4.942907460706224,1
122880,1,5.325776741694443,1
11112184,1,7.999481688782872,0
64000,1,7.810525554420025,1
118784,1,5.48967918628654,1
6750736,1,6.57607474860401,0
40448,1,5.961735610039411,0
12872,1,6.30985702117561,0
151552,1,6.8938614293855,1
92672,1,7.661111337790049,1
280104,1,7.598532589082285,1
25880,1,6.147226701728632,0
21504,1,5.846005817309421,0
2032936,1,5.284096695071986,0
8192,1,0.9548008903882906,0
76800,1,6.911487394767796,1
248860,1,7.372244604704481,1
2688840,1,7.996842303064527,0
167936,1,6.901331838836674,1
1703248,1,6.15729698755518,0
71168,1,7.653056872971865,1
66048,1,7.924269464416828,1
25600,1,5.375758003244439,1
94720,1,7.6440766777283455,1
234000,1,6.04858568246276,0
1596416,1,6.67473830193928,0
151040,1,7.482362502872894,1
250880,1,7.567361885505502,1
135712,1,6.157019129534571,0
69712,1,5.997988180507928,0
32768,1,4.116477537579433,0
80896,1,6.282741885820528,1
372736,1,6.100807280555723,0
61440,1,6.588451945440533,1
62976,1,7.788859677933026,1
105984,1,5.623328662449946,1
926208,1,7.968977288058229,1
94208,1,7.661146095365847,1
330576,1,6.132069520364314,0
269304,1,6.273064580816745,0
397936,1,6.295515117996485,0
475648,1,7.877699628457437,1
93184,1,7.625017504038213,1
278528,1,7.684095978960469,1
122880,1,5.325795733286151,1
54600,1,6.226295413640636,0
51712,1,7.790664175124769,1
348160,1,7.139691352228526,1
141312,1,6.647521425852016,1
158720,1,6.1298275963704745,0
23632,1,6.523391085814762,0
219136,1,5.572226500766168,0
68455,1,7.508600620622725,1
94208,1,7.659263434320863,1
29184,0,5.52427379409052,0
266240,1,7.514679686711206,1
45568,1,4.780790652001899,1
1063944,0,6.661050083287991,0
251904,1,7.529608762405147,1
201728,1,7.827708897055269,1
111120,1,6.152263778773479,0
18944,1,6.151552084278337,1
19968,1,5.949937258256337,0
11776,1,5.340201991513528,0
195488,1,5.751816352634081,1
32816,1,6.5352540399653005,0
62976,1,5.875916554856783,0
335872,1,7.313965769634667,1
313384,1,7.483557501185562,1
281600,1,7.345310289723282,1
733696,1,7.707171734500958,1
400936,1,7.295320793143872,1
80896,1,6.253848406996703,0
201151,1,7.393283539933183,1
501760,1,7.50835885855991,1
458843,1,7.856938553629188,1
84480,1,6.999013040643273,1
139872,1,6.187247493154392,0
82944,1,4.031063220457199,1
228352,1,7.212048665969027,1
1100560,1,6.234328259077037,0
116736,1,7.604460981836151,1
146728,1,6.53364390429199,0
93048,1,6.31897464216745,0
8810984,1,7.963520546039668,0
81920,1,7.143872133424506,0
48640,1,6.454706161173015,1
579584,1,7.494545721881453,1
955904,1,6.91575347196136,0
2048,1,3.4711911625749843,0
969216,1,6.6947746746657,0
150016,1,7.578155015317335,1
768512,1,6.65968316293785,0
290304,1,5.70720761778462,0
114176,1,5.578393832764208,1
133896,1,6.297480530289657,0
24576,1,5.613674946475886,1
438272,1,7.488837200920196,1
213648,1,6.300773147941892,0
116736,1,5.682427754977422,1
292864,1,6.929113751678805,1
226304,1,6.681958621603054,1
89088,1,6.802920002479428,1
24064,1,4.702455433898983,1
41472,1,6.049303734160928,1
7680,1,3.5425178717938106,0
77983,1,6.274680117403827,1
102944,1,6.032885802728147,0
196608,1,5.803212278456662,0
289618,1,6.555975900026895,1
104448,1,5.5791298036569685,1
48128,1,6.520871556049363,1
68738,1,6.499152424399423,0
176128,1,6.943275015981002,1
105248,1,5.4607101381489365,0
212992,1,6.021782710569658,0
568320,1,7.591879971177548,1
